count,hate_speech,offensive_language,neither,class,tweet,tweet_clean,tweet_lemma,tweet_nouns,tweet_sym,tweet_verbs,tweet_nv,num_tokens
3,2,1,0,0,"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao",mentionhere   at least i m not a nigger  urlhere  lmfao,mentionhere    at least i m not a nigger   urlhere   lmfao,mentionhere nigger,,m,mentionhere nigger m,13
3,2,1,0,0,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",mentionhere  mentionhere ariza is a snake and a coward  but at least he isn t a cripple like your hero roach lmaoo,mentionhere   mentionhere ariza be a snake and a coward   but at least -PRON- isn t a cripple like -PRON- hero roach lmaoo,mentionhere mentionhere ariza snake isn cripple hero roach,,t,mentionhere mentionhere ariza snake isn cripple hero roach t,24
6,0,5,1,1,"""@OfficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!",mentionhere  i am lowkey tired      if you tired  be quiet and go to sleep hoe,mentionhere   i be lowkey tired       if -PRON- tire   be quiet and go to sleep hoe,mentionhere lowkey sleep hoe,,tire go,mentionhere lowkey sleep hoe tire go,18
6,3,2,1,0,"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag",mentionhere  drakes new shoes that will be released by nike jordan     yes  there s glitter on the shoes urlhere      dudes a fag,mentionhere   drake new shoe that will be release by nike jordan      yes   there s glitter on the shoe urlhere       dude a fag,mentionhere shoe nike jordan glitter shoe fag,,drake will release s urlhere dude,mentionhere shoe nike jordan glitter shoe fag drake will release s urlhere dude,26
3,1,2,0,1,"""@RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo",mentionhere  bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad  lmaooo,mentionhere   bruh -PRON- be tired of niggas retweetin miley cyrus nake that bitch be not no type of bad   lmaooo,mentionhere bruh niggas retweetin miley cyrus bitch type lmaooo,,be nake be,mentionhere bruh niggas retweetin miley cyrus bitch type lmaooo be nake be,22
3,1,2,0,1,"""@Samirahusic_: ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot",mentionhere   i don t want to have sex with my gf because i feel like i m using her      anonymous  whata faggot,mentionhere    i don t want to have sex with -PRON- gf because i feel like i m use -PRON-       anonymous   whata faggot,mentionhere t sex gf whata faggot,,don want feel use,mentionhere t sex gf whata faggot don want feel use,25
3,0,3,0,1,"""@Shun_stokes: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;""",mentionhere  my cousin said he share hoes with his brothers  he said sharing is caring and he love his brothers,mentionhere   -PRON- cousin say -PRON- share hoe with -PRON- brother   -PRON- say share be care and -PRON- love -PRON- brother,mentionhere cousin share brother brother,,say hoe say share care love,mentionhere cousin share brother brother say hoe say share care love,22
3,2,1,0,0,"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger",mentionhere  hashtaghere urlhere  halloween was yesterday stupid nigger,mentionhere   hashtaghere urlhere   halloween be yesterday stupid nigger,mentionhere halloween yesterday nigger,,,mentionhere halloween yesterday nigger,10
3,0,3,0,1,"""@alejandra_p13: These bitches love Sosa""",mentionhere  these bitches love sosa,mentionhere   these bitch love sosa,mentionhere bitch sosa,,love,mentionhere bitch sosa love,6
3,2,1,0,0,"""@ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes",mentionhere  mentionhere is bored supposed to be cute  you faggot   sometimes,mentionhere   mentionhere be bore suppose to be cute   -PRON- faggot    sometimes,mentionhere mentionhere,,bore suppose faggot,mentionhere mentionhere bore suppose faggot,14
3,2,1,0,0,"""@bigbootybishopp: @white_thunduh lassen cc , the coach wants me"" i feel it youll get more my nig no doubt",mentionhere  mentionhere lassen cc   the coach wants me  i feel it youll get more my nig no doubt,mentionhere   mentionhere lassen cc    the coach want -PRON-   i feel -PRON- -PRON- will get more -PRON- nig no doubt,mentionhere mentionhere lassen cc coach nig,,want feel will,mentionhere mentionhere lassen cc coach nig want feel will,22
3,0,3,0,1,"""@bleedingtrap: god teeth , gold chain
white bitches , cocaine""",mentionhere  god teeth   gold chain white bitches   cocaine,mentionhere   god tooth    gold chain white bitch    cocaine,mentionhere god tooth gold chain bitch cocaine,,,mentionhere god tooth gold chain bitch cocaine,11
3,1,2,0,1,"""@demi_eggleton: oh my god I love Victoria Mitchell"" all my bitches love me",mentionhere  oh my god i love victoria mitchell  all my bitches love me,mentionhere   oh my god i love victoria mitchell   all -PRON- bitch love -PRON-,mentionhere victoria mitchell bitch,,love love,mentionhere victoria mitchell bitch love love,15
3,0,3,0,1,"""@fatboyswagg347: they BAN dat pussy for life &amp; he gotta pay 2.5 millon dollar fine""",mentionhere  they ban dat pussy for life  amp  he gotta pay   millon dollar fine,mentionhere   -PRON- ban dat pussy for life   amp   -PRON- get to pay    millon dollar fine,mentionhere dat pussy life amp dollar fine,,ban get pay,mentionhere dat pussy life amp dollar fine ban get pay,19
3,0,3,0,1,"""@hazelebaby: Karma is a bitch #Damn #GodProtectsHisAngels &#128588;""

*sips tea*",mentionhere  karma is a bitch hashtaghere hashtaghere       sips tea,mentionhere   karma be a bitch hashtaghere hashtaghere        sip tea,mentionhere karma bitch tea,,sip,mentionhere karma bitch tea sip,11
3,0,3,0,1,"""@jaimescudi_: ""@Tonybthrz_: ""@jaimescudi_: I swear if oomf try talking to me tomorrow.."" @"" @BarackObama"" pussy",mentionhere   mentionhere   mentionhere  i swear if oomf try talking to me tomorrow       mentionhere  pussy,mentionhere    mentionhere    mentionhere   i swear if oomf try talk to -PRON- tomorrow        mentionhere   pussy,mentionhere mentionhere mentionhere oomf tomorrow mentionhere pussy,,swear try talk,mentionhere mentionhere mentionhere oomf tomorrow mentionhere pussy swear try talk,19
3,2,1,0,0,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!",mentionhere  jackies a retard hashtaghere  at least i can make a grilled cheese,mentionhere   jackie a retard hashtaghere   at least i can make a grill cheese,mentionhere jackie retard cheese,,can make grill,mentionhere jackie retard cheese can make grill,15
3,2,1,0,0,"""@jgabsss: Stacey Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa",mentionhere  stacey dash won     urlhere  baddest bitch evaaaa,mentionhere   stacey dash win      urlhere   badd bitch evaaaa,mentionhere stacey dash bitch evaaaa,,win,mentionhere stacey dash bitch evaaaa win,11
3,0,3,0,1,"""@lildurk_: I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP"" we finna come to Chiraq and shoot sumn",mentionhere  i don t trust dese hoes nikki told st where i stay at all my fans screen shot asap  we finna come to chiraq and shoot sumn,mentionhere   i don t trust dese hoe nikki tell st where i stay at all -PRON- fan screen shoot asap   -PRON- finna come to chiraq and shoot sumn,mentionhere don t trust dese nikki st fan screen asap chiraq sumn,,hoe tell stay shoot come shoot,mentionhere don t trust dese nikki st fan screen asap chiraq sumn hoe tell stay shoot come shoot,30
3,0,3,0,1,"""@rugbysocklad: Helping out a mate!! http://t.co/eMNAdO1QOj"" I love scally play. Fuck yeah",mentionhere  helping out a mate   urlhere  i love scally play  fuck yeah,mentionhere   help out a mate    urlhere   i love scally play   fuck yeah,mentionhere mate fuck,,help love play,mentionhere mate fuck help love play,16
3,0,2,1,1,"""@soxandjox: Thick raw fuck http://t.co/g8RvUHCeBN"" Damn his man pussy is getting a workout.",mentionhere  thick raw fuck urlhere  damn his man pussy is getting a workout,mentionhere   thick raw fuck urlhere   damn -PRON- man pussy be get a workout,mentionhere fuck man workout,,damn get,mentionhere fuck man workout damn get,15
3,1,2,0,1,"""By the way we do punch bitches.""",by the way we do punch bitches,by the way -PRON- do punch bitch,way bitch,,punch,way bitch punch,7
3,2,1,0,0,"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch.""",don t worry about the nigga you see  worry about the nigga you don t see    dat s da nigga fuckin yo bitch,don t worry about the nigga -PRON- see   worry about the nigga -PRON- don t see     dat s da nigga fuckin yo bitch,don t worry nigga nigga don t dat da nigga fuckin yo bitch,,see worry see,don t worry nigga nigga don t dat da nigga fuckin yo bitch see worry see,25
3,0,3,0,1,"""Get me that shit bitch you is fine bear""",get me that shit bitch you is fine bear,get -PRON- that shit bitch -PRON- be fine bear,shit bitch bear,,,shit bitch bear,9
3,3,0,0,0,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays",hey go look at that video of the man that found the kidnapped girls in ohio        what a nigger    hashtaghere,hey go look at that video of the man that find the kidnap girl in ohio         what a nigger     hashtaghere,video man girl ohio nigger,,go look find kidnap,video man girl ohio nigger go look find kidnap,22
3,1,2,0,1,"""I KNOW my shoes dirty as fuck, whatever, bitch. You don't have to call!""

Like, negro... one of the first things they LOOK at is shoes, dog",i know my shoes dirty as fuck  whatever  bitch  you don t have to call   like  negro    one of the first things they look at is shoes  dog,i know -PRON- shoe dirty as fuck   whatever   bitch   -PRON- don t have to call    like   negro     one of the first thing -PRON- look at be shoe   dog,shoe bitch don t negro thing shoe dog,,know call look,shoe bitch don t negro thing shoe dog know call look,35
3,0,3,0,1,"""I said i don't like it, it tastes like wolf pussy"" 
""what? How do you even know what that tastes like""",i said i don t like it  it tastes like wolf pussy   what  how do you even know what that tastes like,i say i don t like -PRON-   -PRON- taste like wolf pussy    what   how do -PRON- even know what that taste like,t wolf pussy,,say don taste know taste,t wolf pussy say don taste know taste,25
3,1,2,0,1,"""I'm a funky ass honkey."" - @jtimberlake 's shout out to @macklemore tonight before ""Cabaret"" &#128514; #JT2020Tour",i m a funky ass honkey     mentionhere  s shout out to mentionhere tonight before  cabaret      hashtaghere,i m a funky ass honkey      mentionhere   s shout out to mentionhere tonight before   cabaret       hashtaghere,ass honkey mentionhere tonight cabaret,,m shout mentionhere,ass honkey mentionhere tonight cabaret m shout mentionhere,20
3,2,1,0,0,"""Let's kill cracker babies!"". WTF did I just hear???????? WOW.",let s kill cracker babies    wtf did i just hear         wow,let s kill cracker baby     wtf do i just hear          wow,cracker baby wtf,,let kill hear,cracker baby wtf let kill hear,13
3,0,3,0,1,"""Lmao @BlackBeauty515: &#128514;&#128514; RT @80sbaby4life: Pound cake look like pussy &#128514; http://t.co/UFYwCC9xCI""",lmao mentionhere         rt mentionhere  pound cake look like pussy     urlhere,lmao mentionhere          rt mentionhere   pound cake look like pussy      urlhere,lmao mentionhere rt mentionhere pound cake pussy,,look,lmao mentionhere rt mentionhere pound cake pussy look,13
3,2,1,0,0,"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" &#128563;",my grandma used to call me a porch monkey all the time    come to think of it she did refer to a broken bottle as a nigger knife,#NAME?,grandma porch monkey time bottle nigger knife,,use call come think refer,grandma porch monkey time bottle nigger knife use call come think refer,29
3,2,1,0,0,"""Nah its You @NoMeek_JustMilz: &#128514;&#128514;&#128514;&#128514; yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall"" http://t.co/5e2fkQ3Q2T",nah its you mentionhere               yo i thought some photoshopped my face on that faggot smmfh   i hate yall  urlhere,nah -PRON- -PRON- mentionhere                yo i think some photoshoppe -PRON- face on that faggot smmfh    i hate -PRON- all   urlhere,mentionhere yo face faggot smmfh,,think photoshoppe hate,mentionhere yo face faggot smmfh think photoshoppe hate,23
3,3,0,0,0,"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488",our people   now is the time for the aryan race  stand up and say  no more   before the mongerls turn the world into a ghetto slum,#NAME?,people time race mongerl world ghetto slum,,stand say turn,people time race mongerl world ghetto slum stand say turn,30
3,0,3,0,1,"""SORRY JB FAN&#65292;REALLY JUSTIN COME BACK"". That is the top comment on a Justin Timberlake video with 10 million views. Son of a fucking bitch!",sorry jb fan   really justin come back   that is the top comment on a justin timberlake video with  million views  son of a fucking bitch,sorry jb fan    really justin come back    that be the top comment on a justin timberlake video with   million view   son of a fucking bitch,jb fan justin comment justin timberlake video view son bitch,,come,jb fan justin comment justin timberlake video view son bitch come,29
3,0,3,0,1,"""Shall I compare thee to a summer&#8217;s day? No, a summer&#8217;s day is not a bitch.""",shall i compare thee to a summer   s day  no  a summer   s day is not a bitch,shall i compare thee to a summer    s day   no   a summer    s day be not a bitch,summer s day summer s day bitch,,shall compare,summer s day summer s day bitch shall compare,22
3,0,3,0,1,"""She said wigga man you rich...take the du-rag off"" http://t.co/jb7J3zSbam",she said wigga man you rich   take the du rag off  urlhere,#NAME?,wigga man du,,say take rag,wigga man du say take rag,14
3,2,1,0,0,"""These sour apple bitter bitches, I'm not fuckin wit em""",these sour apple bitter bitches  i m not fuckin wit em,these sour apple bitter bitch   i m not fuckin wit -PRON-,apple bitch wit,,m fuckin,apple bitch wit m fuckin,12
4,0,4,0,1,"""They Faggots @JonnieSantana: Orioles petty as fuck...got swept up outta this bitch""",they faggots mentionhere  orioles petty as fuck   got swept up outta this bitch,#NAME?,orioles outta bitch,,faggot mentionhere get sweep,orioles outta bitch faggot mentionhere get sweep,15
3,1,2,0,1,"""U got my 200K bitch nigga""--Al Haymon to Antonio Tarver",u got my k bitch nigga   al haymon to antonio tarver,u get -PRON- k bitch nigga    al haymon to antonio tarver,u k bitch nigga al haymon,,get antonio,u k bitch nigga al haymon get antonio,12
3,3,0,0,0,"""We hate niggers, we hate faggots and we hate spics""-kkk rally",we hate niggers  we hate faggots and we hate spics  kkk rally,#NAME?,nigger faggot spic kkk rally,,hate hate hate,nigger faggot spic kkk rally hate hate hate,14
3,2,1,0,0,"""We're out here, and we're queer!""
"" 2, 4, 6, hut! We like it in our butt!""",we re out here  and we re queer           hut  we like it in our butt,#NAME?,queer hut butt,,re re like,queer hut butt re re like,18
3,2,1,0,0,"""Who the fuck you callin jiggaboo, nigga?!""",who the fuck you callin jiggaboo  nigga,who the fuck -PRON- callin jiggaboo   nigga,fuck jiggaboo nigga,,callin,fuck jiggaboo nigga callin,8
3,3,0,0,0,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an",why people think gay marriage is okay is beyond me  sorry i don t want my future son seeing  fags walking down the street holding hands an,why people think gay marriage be okay be beyond -PRON-   sorry i don t want -PRON- future son see   fag walk down the street hold hand an,people marriage t son fag street hand,,think don want see walk hold,people marriage t son fag street hand think don want see walk hold,29
3,2,1,0,0,"""You ain't gunna do shit spear chucker""",you ain t gunna do shit spear chucker,#NAME?,t gunna shit spear chucker,,ain,t gunna shit spear chucker ain,8
3,0,2,1,1,"""You can take someone out of the ghetto, but you can't take the ghetto out of them.""",you can take someone out of the ghetto  but you can t take the ghetto out of them,-PRON- can take someone out of the ghetto   but -PRON- can t take the ghetto out of -PRON-,ghetto ghetto,,can take can take,ghetto ghetto can take can take,19
3,2,1,0,0,"""You ol trout mouth ass bitch"" 
DEEEEAAAADD",you ol trout mouth ass bitch  deeeeaaaadd,#NAME?,trout mouth ass bitch deeeeaaaadd,,old,trout mouth ass bitch deeeeaaaadd old,8
3,2,1,0,0,"""ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes""",ayo i even kill handicapped and crippled bitches look at my scalp real close and you ll see triple sixes,ayo i even kill handicapped and crippled bitch look at -PRON- scalp real close and -PRON- will see triple six,ayo bitch scalp six,,kill look will see,ayo bitch scalp six kill look will see,20
3,0,3,0,1,"""dont show me no bitch unless she look like Dolly Parton!!!""",dont show me no bitch unless she look like dolly parton,do not show -PRON- no bitch unless -PRON- look like dolly parton,bitch parton,,show look,bitch parton show look,12
3,2,1,0,0,"""fuck you you pussy ass hater go suck a dick and die quick"" - Someone, to me, in Youtube comments. I think we'd be good friends.",fuck you you pussy ass hater go suck a dick and die quick    someone  to me  in youtube comments  i think we d be good friends,fuck -PRON- -PRON- pussy ass hater go suck a dick and die quick     someone   to -PRON-   in youtube comment   i think -PRON- d be good friend,hater dick youtube comment friend,,pussy go suck die think be,hater dick youtube comment friend pussy go suck die think be,30
3,0,3,0,1,"""its britney bitch"" - the bible (leviticus 7:58) http://t.co/ZoAkn1ZlHm",its britney bitch    the bible  leviticus    urlhere,#NAME?,britney bitch bible leviticus,,,britney bitch bible leviticus,10
3,2,1,0,0,"""on my way to fuck your bitch in the name of The Lord"" - Mr. Race",on my way to fuck your bitch in the name of the lord    mr  race,on -PRON- way to fuck -PRON- bitch in the name of the lord     mr   race,way bitch name lord mr race,,fuck,way bitch name lord mr race fuck,17
3,2,1,0,0,"""poor whitey"" http://t.co/3UkKeyznz8",poor whitey  urlhere,poor whitey   urlhere,whitey,,,whitey,4
3,0,3,0,1,"""whatever you are, be a good one."" -Abraham Lincoln, this quote is not for yall hoes!",whatever you are  be a good one    abraham lincoln  this quote is not for yall hoes,whatever -PRON- be   be a good one     abraham lincoln   this quote be not for -PRON- all hoe,abraham lincoln quote hoe,,,abraham lincoln quote hoe,20
6,0,6,0,1,#11 get to hit any bitch on campus he wants to,get to hit any bitch on campus he wants to,get to hit any bitch on campus -PRON- want to,bitch campus,,hit want,bitch campus hit want,10
3,2,0,1,0,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding",hashtaghere lot of rain  too bad it wasn t enough to wash away the teabagger racist white trash in the state  hashtaghere hashtaghere hashtaghere,hashtaghere lot of rain   too bad -PRON- wasn t enough to wash away the teabagger racist white trash in the state   hashtaghere hashtaghere hashtaghere,lot rain wasn t teabagger white trash state,,wash,lot rain wasn t teabagger white trash state wash,26
3,3,0,0,0,#California is full of white trash,hashtaghere is full of white trash,hashtaghere be full of white trash,hashtaghere trash,,,hashtaghere trash,6
3,2,1,0,0,#California is full of white trash who moved from #Oklahoma,hashtaghere is full of white trash who moved from hashtaghere,hashtaghere be full of white trash who move from hashtaghere,hashtaghere trash,,move,hashtaghere trash move,10
3,2,0,1,0,#DTLA is trash because of non-Europeans are allowed to live there.,hashtaghere is trash because of non europeans are allowed to live there,hashtaghere be trash because of non europeans be allow to live there,hashtaghere trash europeans,,allow live,hashtaghere trash europeans allow live,12
3,2,0,1,0,#Dutch farmers are white trash.,hashtaghere farmers are white trash,hashtaghere farmer be white trash,hashtaghere farmer trash,,,hashtaghere farmer trash,5
3,3,0,0,0,#Dutch people who live outside of #NewYorkCity are all white trash.,hashtaghere people who live outside of hashtaghere are all white trash,hashtaghere people who live outside of hashtaghere be all white trash,people trash,,live,people trash live,11
3,2,1,0,0,#Iowa is full of white trash,hashtaghere is full of white trash,hashtaghere be full of white trash,hashtaghere trash,,,hashtaghere trash,6
3,2,1,0,0,#JesusChrist was STRAIGHT&gt; That's why the #faggots killed him. #PERIOD #SonOfGod&gt;,hashtaghere was straight gt  that s why the hashtaghere killed him  hashtaghere hashtaghere gt,hashtaghere be straight gt   that s why the hashtaghere kill -PRON-   hashtaghere hashtaghere gt,hashtaghere,,s kill,hashtaghere s kill,16
3,3,0,0,0,#Minnesota is full of white trash,hashtaghere is full of white trash,hashtaghere be full of white trash,hashtaghere trash,,,hashtaghere trash,6
3,2,1,0,0,#ReasonsWeCantBeTogether if u was talkin to my nig or smashed da homies,hashtaghere if u was talkin to my nig or smashed da homies,hashtaghere if u be talkin to -PRON- nig or smash da homie,nig da homie,,smash,nig da homie smash,12
3,2,1,0,0,"#RebelScience ......is using an ACTUAL WOMAN as a genetic engineering lab for ""all natural clones""..... or something...... #faggot #rome",hashtaghere       is using an actual woman as a genetic engineering lab for  all natural clones       or something       hashtaghere hashtaghere,hashtaghere        be use an actual woman as a genetic engineering lab for   all natural clone        or something        hashtaghere hashtaghere,hashtaghere woman engineering lab clone,,use,hashtaghere woman engineering lab clone use,23
3,0,2,1,1,#Shoutout to my #Exit47 niccas! #Salute,hashtaghere to my hashtaghere niccas  hashtaghere,hashtaghere to -PRON- hashtaghere niccas   hashtaghere,hashtaghere niccas,,,hashtaghere niccas,7
3,2,1,0,0,"#SlightlyAdjusted RT @CapoToHeaven Alls niggers wanna do is fuck, tweet, and drink pineapple soda all day",hashtaghere rt mentionhere alls niggers wanna do is fuck  tweet  and drink pineapple soda all day,hashtaghere rt mentionhere all niggers wanna do be fuck   tweet   and drink pineapple soda all day,rt mentionhere niggers wanna tweet pineapple soda day,,all drink,rt mentionhere niggers wanna tweet pineapple soda day all drink,18
3,2,1,0,0,#SomethingIGetAlot Are you... asian? black? Hawaiian? gay? retarded? drunk?,hashtaghere are you    asian  black  hawaiian  gay  retarded  drunk,hashtaghere be -PRON-     asian   black   hawaiian   gay   retarded   drunk,black gay,,,black gay,15
3,3,0,0,0,#SouthCarolina is full of white trash,hashtaghere is full of white trash,hashtaghere be full of white trash,hashtaghere trash,,,hashtaghere trash,6
3,2,1,0,0,#ThingsIWillTeachMyChild how to play deez niggas n bitches dat be snakes,hashtaghere how to play deez niggas n bitches dat be snakes,hashtaghere how to play deez niggas n bitch dat be snake,deez niggas n bitch dat snake,,play,deez niggas n bitch dat snake play,11
3,2,1,0,0,"#TrayvonMartin referred to Zimmerman as a ""creepy ass cracker"". Racist thug.",hashtaghere referred to zimmerman as a  creepy ass cracker   racist thug,hashtaghere refer to zimmerman as a   creepy ass cracker    racist thug,zimmerman creepy ass cracker thug,,refer,zimmerman creepy ass cracker thug refer,13
